Title,Genres,Movie Rating,Release Year,Movie Plot
Youth Without Youth,"Drama, Fantasy, Mystery",6.1,2007,"A love story wrapped in a mystery. Set in World War II Europe, a professor is changed by a cataclysmic event and explores the mysteries of life."
White Noise,"Comedy, Drama, Horror",5.7,2022,"Dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world."
Annette,"Drama, Musical, Romance",6.3,2021,A stand-up comedian and his opera singer wife have a two-year-old daughter with a surprising gift.
Paterson,"Comedy, Drama, Romance",7.3,2016,"A quiet observation of the triumphs and defeats of daily life, along with the poetry evident in its smallest details."
The Report,"Biography, Crime, Drama",7.2,2019,"Idealistic Senate staffer Daniel J. Jones, tasked by his boss to lead an investigation into the CIA's post 9/11 Detention and Interrogation Program, uncovers shocking secrets."
Hungry Hearts,"Drama, Romance, Thriller",6.4,2014,The relationship of a couple who meet by chance in New York City is put to the test when they encounter a life-or-death circumstance.
The Last Duel,"Action, Drama, History",7.4,2021,The Knight Jean de Carrouges must settle the dispute over his wife Marguerite by challenging his former friend to a duel to the death.
House of Gucci,"Biography, Crime, Drama",6.6,2021,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder."
Masada,"Action, Drama, History",7.8,1981,"After the destruction of the Second Temple, nine hundred Jewish zealots hold out against a five thousand man Roman legion on the mountaintop fortress of Masada."
Ali,"Biography, Drama, Sport",6.7,2001,"A biography of sports legend Muhammad Ali, focusing on his triumphs and controversies between 1964 and 1974."
Insurrection,"Documentary, Short",7.5,1968,"A series of interviews with the leaders of the Paris riots of May and June, 1968."
Junior Bonner,"Drama, Western",6.7,1972,"Ace Bonner returns to Arizona several years after he abandoned his family, Junior Bonner is a wild young man. Against the typical rodeo championship, family drama erupts."
Cat People,"Fantasy, Horror, Thriller",6.2,1982,A woman who was orphaned from a young age finally reunites with her older brother. Matters start to go awry when she slowly discovers the true nature of her family.
The Hidden,"Horror, Sci-Fi, Thriller",7.0,1987,A cop and an FBI agent race for answers after law abiding people suddenly become violent criminals.
Wolfen,"Horror, Thriller",6.3,1981,A New York cop investigates a series of brutal deaths that resemble animal attacks.
The Funhouse,Horror,5.9,1981,"Four teenagers visit a local carnival for a night of innocent amusement, but soon discover that nothing there is innocent or amusing."
Q: The Winged Serpent,"Crime, Fantasy, Mystery",6.0,1982,"NYPD detectives Shepard and Powell are working on a bizarre case of a ritualistic Aztec murder. Meanwhile, something big is attacking people of New York and only greedy small time crook Jimmy Quinn knows where its lair is."
Goodfellas 2,"Short, Comedy",5.6,2020,"Two gangsters meet and fall madly in love, and have a little bit of gay romance but their Italian brothers won't let that one slide so they all hit the gritty hop on the Fortnite and win some dubs"
Next of Kin,"Horror, Mystery",6.2,1982,"In a rest home for elderly people, a daughter reads her mother's diary. Soon events that are mentioned in the mother's diary begin to happen to the daughter."
The Lair of the White Worm,"Comedy, Horror",6.0,1988,"When an archaeologist uncovers a strange skull in a foreign land, the residents of a nearby town begin to disappear, leading to further inexplicable occurrences."
Blow Out,"Crime, Drama, Mystery",7.4,1981,A movie sound recordist accidentally records the evidence that proves that a car accident was actually murder and consequently finds himself in danger.
Sorcerer,"Adventure, Drama, Thriller",7.7,1977,Four unfortunate men from different parts of the globe agree to risk their lives transporting gallons of nitroglycerin across dangerous Latin American jungle.
To Live and Die in L.A.,"Action, Crime, Drama",7.3,1985,A fearless Secret Service agent will stop at nothing to bring down the counterfeiter who killed his partner.
Collateral,"Action, Crime, Drama",7.5,2004,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.
Hannibal Rising,"Adventure, Crime, Drama",6.1,2007,"After the death of his parents during World War II, young Hannibal Lecter moves in with his beautiful aunt and begins plotting revenge on the barbarians responsible for his sister's death."
A Prayer for the Dying,"Action, Crime, Drama",6.3,1987,"Martin, an I.R.A. hitman, is seen by a Catholic priest while carrying out a hit. He grows a bond with the priest and his niece. But his past and his former employers put all their lives in danger."
The Pope of Greenwich Village,"Action, Comedy, Crime",6.6,1984,Two cousins unknowingly rob the mob and face the dangerous consequences.
Johnny Handsome,"Crime, Drama, Thriller",6.1,1989,"After being double crossed and thrown in jail, a deformed gangster gets a new face and rehabilitation, but his desire for revenge looms."
Fall Time,"Crime, Drama",5.4,1995,"Three young men decide to plan a mock kidnapping, but everything goes wrong because a real bank robbery was already planned by two other guys."
Barfly,"Comedy, Drama, Romance",7.1,1987,"Based on the life of successful poet Charles Bukowski and his exploits in Hollywood during the 60s, 70s, and 80s."
Francesco,"Biography, Drama, History",6.3,1989,Docudrama about the life of St-Francis of Assisi.
Diner,"Comedy, Drama",7.1,1982,A group of college-age buddies struggle with their imminent passage into adulthood in 1959 Baltimore.
F.T.W.,"Crime, Drama, Romance",5.2,1994,"Frank T. Wells has just been released from prison after serving a term for manslaughter. Frank's a reasonably honest man and a good rodeo rider. When he meets up with Scarlett, a bank robber on the run, his whole life changes.—Rob Hartill"
Bullet,"Action, Crime, Drama",6.4,1996,"Paroled after 8 years in prison, Bullet's picked up by his brother and a friend. Bullet assaults a drug dealer and two customers. Things escalate."
Killshot,"Action, Crime, Drama",6.0,2008,"Beautiful Carmen Colson and her ironworker husband Wayne are placed in the Federal Witness Protection program after witnessing an ""incident"". Thinking they are at last safe, they are targeted by an experienced hit man and a psychopathic young upstart killer. The ensuing struggle will test Carmen to the limit."
The Last Outlaw,"Action, Drama, Western",6.1,1993,"Left for dead by his bank robbing gang, a marauder joins a posse to seek revenge."
52 Pick-Up,"Crime, Drama, Thriller",6.4,1986,A secret fling between a man and his mistress leads to blackmail and murder.
Machete,"Action, Crime, Thriller",6.6,2010,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss."
Kinjite: Forbidden Subjects,"Action, Crime, Drama",5.5,1989,A brutal Los Angeles police Lt. is determined to bust up an organization that forces underage girls into prostitution.
Unforgettable,"Drama, Mystery, Sci-Fi",6.0,1996,A Seattle medical examiner uses an experimental memory transference drug to unravel the mystery surrounding his Wife's brutal murder.
Malone,"Action, Drama, Thriller",5.8,1987,An ex-C.I.A. hit man running from his past finds just how difficult it is to retire when he runs across a small town controlled by mercenaries and a family that's resisting their control.
Mortal Thoughts,"Mystery, Thriller",5.8,1991,Two detectives interrogate a hairdresser on two homicides she may or may not have been involved in.
The Morning After,"Crime, Mystery, Romance",5.9,1986,"A washed up, alcoholic actress who is prone to blackouts wakes up next to a murdered man. Did she kill him and, if not, is she in danger?"
Best Seller,"Action, Crime, Drama",6.4,1987,"A hitman approaches a writer to help him create his next best seller, but the violent world he was a part of has other plans."
Unlawful Entry,"Crime, Drama, Thriller",6.4,1992,A burglar holds a knife to Karen's throat while her husband does nothing. The couple ends up befriending the cop that comes. The friendship ends when the cop beats up the culprit. Karen isn't ready to end it. Things get ugly with the cop.
Cohen and Tate,"Action, Crime, Drama",6.3,1988,"When a little boy witnesses a mob hit, he is kidnapped by two professional assassins who are not what they seem."
Beautiful Blue Eyes,"Crime, Drama, Thriller",4.7,2009,A retired cop seeks revenge against an elderly man he's convinced is the Nazi who slaughtered his family during WW2.
Johnny Skidmarks,"Crime, Drama, Mystery",5.5,1998,"Johnny ""Skidmark"" Scardino is a free-lance crime-scene photographer and part-time blackmailer. When his associates begin to turn up murdered, he has a very short time to discover the killer before it is his turn."
Cop,"Crime, Drama, Mystery",6.4,1988,"An obsessive, insubordinate homicide cop is convinced a serial killer is loose in the Hollywood area and disobeys orders in order to catch him."
Girls Nite Out,"Horror, Mystery, Thriller",4.9,1982,"At a remote Ohio college, a killer dressed in the school's bear mascot suit stalks several young women participating in an all-night scavenger hunt."
The Dorm That Dripped Blood,"Horror, Mystery, Thriller",4.9,1982,Four college students are stalked by an unknown assailant while staying on campus over the Christmas holidays to help clear out a dormitory which is to be demolished.
Graduation Day,"Horror, Mystery, Thriller",4.8,1981,A masked killer begins murdering students on the school track team after a track runner dies upon completion of a 30 second 200-meter race.
Final Exam,"Horror, Thriller",4.6,1981,A psycho killer shows up on college campus to slash up pretty co-eds and dumb jocks.
The Prowler,"Horror, Mystery, Thriller",5.9,1981,"An unknown killer, clad in World War II U.S. Army fatigues, stalks a small California town, bent on reliving a 35 year-old double murder by focusing on a group of college kids holding an annual graduation dance."
The Final Terror,Horror,5.2,1983,A group of rangers go camping on unfamiliar forest grounds. All's well until the group members start getting killed by a cunning killer in the woods.
Death Valley,"Crime, Drama, Horror",5.5,1982,"A divorced mother, her young son and her new boyfriend set out on a road trip through Death Valley and run afoul of a local serial killer."
The Mutilator,"Horror, Thriller",5.2,1984,"A college student, who accidentally killed his mother as a child, decides to take his friends to his father's fishing cabin during fall break, not knowing that his crazed father is stalking the place."
Nightmare,Horror,5.6,1981,A mental patient embarks on a murder spree upon escaping from an institution.
The Initiation,"Horror, Mystery, Thriller",5.6,1984,An amnesiac sorority member who has been plagued by a recurring nightmare is stalked alongside other coeds by a killer in a deserted department store where they are completing a hazing ritual.
Absurd,Horror,5.3,1981,"A priest-doctor chasing a man with supernatural regenerative abilities, who has recently escaped from a medical lab, reaches a small town where the mutant goes on a killing spree."
Miami Vice,"Action, Crime, Drama",7.5,1984–1989,"-Resplendent with authentic 1980s music, fashion, and vibe, ""Miami Vice"" follows two undercover detectives and their extended team through the mean streets of Miami, Florida."
S.W.A.T.,"Action, Adventure, Crime",6.1,2003,"An imprisoned drug kingpin offers a huge cash reward to anyone that can break him out of police custody, and only the L.A.P.D.'s Special Weapons and Tactics team can prevent it."
The Kingdom,"Action, Drama, Thriller",7.0,2007,A team of U.S. government agents are sent to investigate the bombing of an American facility in the Middle East.
Wiseguy,"Crime, Drama, Mystery",7.8,1987–1990,"Vincent Terranova is an agent with the Organized Crime Bureau infiltrating dangerous criminal organizations, struggling to remain true to himself while becoming close to the criminal leaders he is sworn to bring down."
The Recruit,"Action, Thriller",6.6,2003,A brilliant young CIA trainee is asked by his mentor to help find a mole in the Agency.
The Professionals,"Action, Comedy, Crime",8.0,1977–1983,"Bodie and Doyle, senior agents of the British intelligence service CI5 (Criminal Intelligence 5), and their handler George Cowley fight terrorism and similar high-level crimes."
Luck,"Drama, Sport",7.4,2011–2012,A television series centered around characters who are tied to the same horse-racing track.
Mercedes 'Lucky Star',"Short, Action",7.3,2002,"Mercedes released a trailer for a new thriller called ""Lucky Star,"" which stars Benicio del Toro, in British movie theaters and on television. The 2½ minute trailer, Directed by Michael Mann centers on a gambler named ""Mr. H"" who bets and wins at casinos and in the stock market, which garners the attention of shadowy government agents. Scenes depict del Toro being chased by helicopters, escaping pursuers on LA freeways. There's just one catch: Although Mann has optioned the story rights, ""Lucky Star"" isn't a real movie. lead by its new ad agency Campbell Doyle Dye, Mercedes is mimicking BMW's recent leap into entertainment by hiring Hollywood heavyweights to promote its vehicles. Del Toro's co-star is Mercedes' sexy new silver 500 SL convertible sports car.—Dutch Merrick"
The Final Programme,"Sci-Fi, Thriller",5.4,1973,"A trio of scientists plan to create a self-replicating, immortal, hermaphrodite using the Final Programme developed by a dead, Nobel Prize-winning scientist."
Bang the Drum Slowly,"Drama, Sport",6.8,1973,The story of the friendship between a worldly-wise star pitcher and a half-wit catcher as they cope with the catcher's terminal illness through a baseball season.
Buddy Buddy,Comedy,6.5,1981,"During a high-profile Mafia testimony case in California's Riverside County, a hired killer checks into a hotel room near the courthouse, while his depressed next-door neighbor wants to commit suicide over marital problems."
Brazil,"Drama, Sci-Fi, Thriller",7.9,1985,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.
City of Lost Children,"Short, Drama",5.9,2020,"City of Lost Children is a near future thriller set in a refugee camp for kids in the UK. We follow Dami and Azra as they negotiate the chaos of the camp, desperately trying to find a home for Dami before Azra is deported the next day."
Dark City,"Fantasy, Mystery, Sci-Fi",7.6,1998,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from."
Les enfants de la cité perdue,"Documentary, Short",8.1,1995,"A fantastic movie where the strong helps the weak. A surreal story filled with the stylish costumes of Jean Paul Gaultier, where a man is tortured by being unable to dream. Mad scientists abound but in the end the good and innocent triumphs over evil."
Deux escargots s'en vont,"Animation, Short",6.3,2016,Based on a poem of Jacques Prévert.
Foutaises,"Short, Comedy",7.6,1989,"A 9 minute comedy starring Dominique Pinon (Delicatessen). Featuring muted colors with a sepia black and white, Pinon takes the viewer through various examples of what he ""likes and dislikes"". The music is by Carlos D'Alessio and Special Thanks is given to Claudie Ossard.—Anonymous"
Casanova,Drama,7.0,2015,18th century Venetian Giacomo Casanova escapes from prison and flees to France.
Man Bites Dog,"Comedy, Crime, Drama",7.4,1992,A film crew follows a ruthless thief and heartless killer as he goes about his daily routine. But complications set in when the film crew lose their objectivity and begin lending a hand.
Run Lola Run,"Action, Crime, Thriller",7.7,1998,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks."
Delicacy,"Comedy, Drama, Romance",6.6,2011,A French woman mourning over the death of her husband three years prior is courted by a Swedish co-worker.
Made in Caro,"Animation, Music",5.4,2006,"Short films, clips and commercials made by Marc Caro when he was working at his movie 'Cité des Enfants Perdues' (1995)."
Hunting and Gathering,"Drama, Romance",6.7,2007,"When Camille (Audrey Tautou) falls ill, she is forced to live with Philibert and Franck (Guillaume Canet). A moving trio story."
The Valet,"Comedy, Drama",6.6,2006,A porter and a top-model have to pretend to be a couple in order to salvage a CEO's marriage.
Chinese Puzzle,"Comedy, Drama, Romance",6.9,2013,"A 40-year-old father's life is complicated when the mother of his two children moves to New York. Since he can't bear them growing up far away from him, he decides to move there as well."
Beautiful Lies,"Comedy, Romance",6.4,2010,A hairdresser forwards a passionate love letter to her mother.
Russian Dolls,"Comedy, Drama, Romance",7.0,2005,"Five years after their summer together in Barcelona, Xavier, William, Wendy, Martine and Isabelle reunite."
Coco Before Chanel,"Biography, Drama",6.7,2009,The story of Coco Chanel's rise from obscure beginnings to the heights of the fashion world.
Heartbreaker,"Comedy, Romance",6.7,2010,Alex and his sister run a business designed to break up relationships. They are hired by a rich man to break up the wedding of his daughter. The only problem is that they only have one week to do so.
The Spanish Apartment,"Comedy, Drama, Romance",7.3,2002,"A strait-laced French student moves into an apartment in Barcelona with a cast of six other characters from all over Europe. Together, they speak the international language of love and friendship."
"He Loves Me, He Loves Me Not","Romance, Thriller",7.1,2002,"A young woman who is in love with a married doctor becomes dangerous when her attempts to persuade him to leave his wife are unsuccessful. However, when things are seen from his point of view, the real situation becomes clear."
Looop,"Animation, Short",5.9,2018,"An android, half-man, half-machine, moves ahead in the setting of a baroque cathedral. As though hypnotized by a stroboscopic impulse, the android begins an adventure in a maze of corridors, footbridges and spiral staircases. Its interminable ascension to the light will make it discover the eternal return."
The Chorus,"Drama, Music",7.8,2004,"Pierre, a successful orchestra conductor, returns home when his mother dies. He stumbles upon an old diary and recollects the childhood school memories and his music teacher Clement Mathieu."
Rust and Bone,"Drama, Romance",7.4,2012,"Put in charge of his young son, Alain leaves Belgium for Antibes to live with his sister and her husband as a family. Alain's bond with Stephanie, a killer whale trainer, grows deeper after Stephanie suffers a horrible accident."
Little White Lies,"Comedy, Drama",7.1,2010,A near-fatal accident leaves one friend in the hospital while the rest go on their annual vacation. But their secrets and personal grief threaten to drive them apart.
La belle époque,"Comedy, Drama, Fantasy",7.4,2019,"Victor, a disillusioned 60-something whose marriage is on the rocks, opts to relive the week of his life when, 40 years earlier, he met his true love through a company that allows customers to return to the time period of their choosing."
Jeux d'enfants,"Short, Romance",8.0,2018,"Julien, 8, is confronted with his mother's cancer, while Sophie has to face the xenophobia of other schoolchildren. Soon they become inseparable and invent a game: ""cape or not cap? "" (able or unable ?)."
What's in a Name?,"Comedy, Drama",7.3,2012,Vincent is about to become a father. At a meeting with childhood friends he announces the name for his future son. The scandalous name ignites a discussion which surfaces unpleasant matters from the past of the group.
Polisse,"Crime, Drama",7.3,2011,A journalist covering police assigned to a juvenile division enters into an affair with one of her subjects.
Taxi to the Dark Side,"Documentary, Crime, History",7.5,2007,Alex Gibney exposes the haunting details of the USA's torture and interrogation practices during the War in Afghanistan.
Frida,"Biography, Drama, Romance",7.3,2002,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work."
The Queen,"Biography, Drama",7.3,2006,"After the death of Princess Diana, Queen Elizabeth II struggles with her reaction to a sequence of events nobody could have predicted."
"Two Days, One Night",Drama,7.3,2014,"Liège, Belgium. Sandra is a factory worker who discovers that her workmates have opted for a EUR1,000 bonus in exchange for her dismissal. She has only a weekend to convince her colleagues to give up their bonuses in order to keep her job."
Born Into Brothels: Calcutta's Red Light Kids,"Documentary, Biography, News",7.2,2004,"Two documentary filmmakers chronicle their time in Sonagchi, Calcutta and the relationships they developed with children of prostitutes who work the city's notorious red light district."
The Iron Lady,"Biography, Drama",6.4,2011,"An elderly Margaret Thatcher talks to the imagined presence of her recently deceased husband as she struggles to come to terms with his death while scenes from her past life, from girlhood to British prime minister, intervene."
The Reader,"Drama, Mystery, Romance",7.6,2008,"Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial."
Precious,Drama,7.3,2009,"In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that she can re-route her life in a better direction."
Chanel No. 5: Train de Nuit,"Short, Fantasy, Romance",7.1,2009,Commercial for Chanel No. 5 perfume.
Liam,Drama,6.9,2000,A family falls into poverty during the Depression.
The Grifters,"Crime, Drama, Thriller",6.9,1990,"A small-time conman has torn loyalties between his estranged mother and new girlfriend, both of whom are high-stakes grifters with their own angles to play."
Dangerous Liaisons,"Drama, Romance",7.6,1988,A scheming widow and her manipulative ex-lover make a bet regarding the corruption of a recently married woman.
In America,Drama,7.7,2002,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.
Triste à mourir,"Comedy, Drama, Short",7.6,1999,A young girl named Caro (Audrey Tautou) goes through various villages looking for her friend Nath
The Magdalene Sisters,Drama,7.7,2002,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.
Philomena,"Biography, Comedy, Drama",7.6,2013,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent."
This Is Us,"Comedy, Drama, Romance",8.7,2016–2022,"A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents."
God Is Great and I'm Not,"Comedy, Romance",5.2,2001,"Michèle, 20 years old, feels terrible after having broken up with her boyfriend. She meets Francois, who's a veterinarian and Jewish. Michèle decides to convert to Judaism because she has to believe in something, if not in someone."
Silent Night,"Biography, Drama, War",7.5,2002,"In a cabin on a World War II front, a German mom with a young son mediates a truce between three German and three American soldiers so they can all celebrate Christmas Eve 1944 together."
Days of Glory,"Action, Drama, War",7.0,2006,"During World War II, four North African men enlist in the French army to liberate that country from German oppression, and to fight French discrimination."
Land of Mine,"Drama, History, War",7.8,2015,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight."
Black Book,"Drama, Thriller, War",7.7,2006,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance."
Joyeux Noel,Romance,6.1,2023,"When a romantic painting of a Christmas market captures the imagination of copy editor Lea, she is sent to France with pragmatic reporter Mark to uncover the mystery behind the artist."
Outside the Law,"Crime, Drama, War",6.6,2010,A drama about the Algerian struggle for independence from France after WWII.
The Red Baron,"Action, Adventure, Biography",6.3,2008,"German biopic loosely based on the World War I fighter ace Manfred Von Richthofen, nicknamed the Red Baron by friend and foe alike."
Christmas in Connecticut,"Comedy, Romance",7.3,1945,A food writer who has lied about being the perfect housewife must try to cover her deception when her boss and a returning war hero invite themselves to her home for a traditional family Christmas.
Passchendaele,"Drama, History, Romance",6.4,2008,"The lives of a troubled veteran, his nurse girlfriend and a naive boy intersect first in Alberta and then in Belgium during the bloody World War I battle of Passchendaele."
Welcome to the Sticks,"Comedy, Romance",7.1,2008,"A French public servant from Provence is banished to the far North. Strongly prejudiced against this cold and inhospitable place, he leaves his family behind to relocate temporarily there, with the firm intent to quickly come back."
Girlfriend's Day,"Comedy, Drama",5.2,2017,"Ray Wentworth, a now down-on-his-luck romance-card writer, decides to recapture the feelings that once made him the greatest with the creation of a new holiday: Girlfriend's Day."
Office Invasion,"Action, Comedy, Horror",4.5,2022,Three best friends band together to defend their valuable mining company from monstrous aliens looking to plunder and exterminate.
Jung_E,"Action, Adventure, Drama",5.5,2023,"On an uninhabitable 22nd-century Earth, the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary."
Gold Brick,"Comedy, Drama",6.1,2023,"Determined to even the scales and profit from his thankless job, a factory worker schemes to traffic luxury perfumes from under his employer's nose."
Les têtes de l'emploi,Comedy,5.1,2016,"Stéphane, Cathy and Thierry are the best employees of the Employment Agency of their city. But their results are so good that the agency will have to close because of a lack of unemployed. The three colleagues then have the crazy idea of creating unemployment to save their job.—OzzyPsycko"
Satan Met a Lady,"Comedy, Crime, Mystery",5.9,1936,"A double-crossing woman, the two-timing P.I. she hired, the corpulent ""empress of crime"", and a gentleman thief are all after a legendary priceless eighth-century ram's horn."
Spiderhead,"Action, Crime, Drama",5.5,2022,"In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions."
The Little Giant,"Comedy, Crime, Romance",7.0,1933,"When Prohibition ends, a beer baron sees the writing on the wall, quits the rackets, and tries to break into California society."
Bombshell,"Comedy, Drama, Mystery",7.1,1933,"A glamorous film star rebels against the studio, her pushy press agent and a family of hangers-on."
The Maltese Falcon: One Magnificent Bird,"Documentary, Short",7.3,2006,"An appreciation and the story of the ""making of"" THE MALTESE FALCON."
Red-Headed Woman,"Comedy, Drama, Romance",7.0,1932,Lillian (Jean Harlow) relentlessly attempts to seduce a married man (Chester Morris).
Blonde Crazy,"Comedy, Crime, Drama",7.1,1931,The adventures of an egoistic con man and his glamorous accomplice.
Evelyn Prentice,"Drama, Mystery, Romance",6.9,1934,The neglected wife of a high profile attorney dallies with a unscrupulous womanizer and finds herself involved in blackmail and murder.
The Big Shot,"Crime, Drama, Film-Noir",6.7,1942,"Fearing life in prison for a fourth offense, convict Duke Berne pulls out of an armored car robbery, planned by his crooked lawyer, but he is framed for the robbery anyway."
What Price Hollywood?,"Drama, Romance",7.0,1932,The career of a waitress takes off when she meets an amiable drunken Hollywood director.
Three on a Match,"Crime, Drama, Romance",7.1,1932,"Although Vivian Revere is seemingly the most successful of a trio of reunited schoolmates, she throws it away by descending into a life of debauchery and drugs."
Employees' Entrance,"Drama, Romance",7.2,1933,A working girl is menaced by her tyrannical employer.
The Big Sleep,"Crime, Drama, Mystery",5.7,1978,"Grizzled American private detective in England investigates a complicated case of blackmail turned murder involving a rich but honest elderly general, his two loose socialite daughters, a pornographer and a gangster."
High Noon,"Drama, Thriller, Western",8.0,1952,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train."
The African Queen,"Adventure, Drama, Romance",7.0,1977,"After the events of The African Queen (1951), Charlie and Rose are recaptured by the Germans and forced to tug one of their big cannons that could bring the Nazis victory against the local Allied forces."
Legal Eagles,"Comedy, Crime, Romance",6.0,1986,"A New York district attorney works and flirts with his adversary and her kooky artist client, who is on trial for a murder she didn't commit."
Hanover Street,"Action, Adventure, Drama",6.0,1979,"Margaret is a nurse in England during WW2, and married to a secret agent. Things get complicated when she falls for David, an American pilot."
Getting Straight,"Comedy, Drama, Romance",6.3,1970,A Vietnam vet and former social radical is conflicted by his desire to become a teacher and his sympathy with anti-establishment student protests.
More American Graffiti,"Comedy, Drama, War",5.4,1979,"Told in four different New Year's Eves in the mid 1960s, John, Terry, Debbie, Steve and Laurie deal with adulthood, the Vietnam war, peace rallies, and relationships."
The Frisco Kid,"Adventure, Comedy, Drama",6.3,1979,"A Polish rabbi wanders through the Old West on his way to lead a synagogue in San Francisco. On the way, he is nearly burned at the stake by Native Americans and almost killed by outlaws."
Force 10 from Navarone,"Action, Drama, War",6.4,1978,"During World War II, several oddly assorted military experts are teamed in a mission to raid and destroy a bridge vital to enemy strategy."
Dynasty,Drama,4.9,1976,The story of a pioneer family in the early 1800s that seeks its fortunes on the Ohio frontier.
Nanny and the Professor,"Comedy, Fantasy",7.2,1970–1971,A remarkable young English nanny takes over the household of a widowed professor and his three children.
The Great Waldo Pepper,"Adventure, Drama",6.7,1975,"After WW1, an ex-pilot takes up barn-storming and chance-meets a former German ace fighter pilot with whom he co-stars in Hollywood war movies depicting aerial dog-fights."
The Possessed,Horror,5.3,1977,"A former priest, now an exorcist, battles the Satanic forces that are threatening the students at a girls school."
Pink Cadillac,"Action, Comedy, Crime",5.3,1989,"Skip tracer Tommy looks for bail-jumper Lou Ann. Her crime is marrying Roy, who left counterfeit money in their mobile home and got her arrested. She leaves Roy in his pink Cadillac full of money. His psycho friends want their money back."
Any Which Way You Can,"Action, Comedy",6.1,1980,"A trucker turned prize fighter, his brother and their pet orangutan have a series of misadventures involving the mob, corrupt cops, motorcycle gangs and pretty dames."
Firefox,"Action, Adventure, Thriller",5.9,1982,A pilot is sent into the Soviet Union on a mission to steal a prototype jet fighter that can be partially controlled by a neuralink.
White Hunter Black Heart,"Adventure, Drama",6.5,1990,"A thinly fictionalized account of a legendary movie director, whose desire to hunt down an animal turns into a grim situation with his movie crew in Africa."
Warlock,"Action, Fantasy, Horror",6.2,1989,"A warlock flees from the 17th to the 20th century, with a witch-hunter in hot pursuit."
Into the Night,"Action, Comedy, Crime",6.4,1985,"After discovering that his wife is cheating on him, an insomniac aerospace engineer accidentally meets, and tries to help, a beautiful model on the run from some extremely dangerous people."
Body Snatchers,"Horror, Sci-Fi",6.0,1993,A teenage girl and her father discover alien clones are replacing humans on a remote U.S. military base in Alabama.
Waxwork,"Comedy, Horror",6.1,1988,A wax museum owner uses his horror exhibits to unleash evil on the world.
Thinner,"Fantasy, Horror",5.8,1996,An obese attorney is cursed by a gypsy to rapidly and uncontrollably lose weight.
Dust Devil,"Horror, Mystery, Thriller",6.2,1992,A woman on the run from her abusive husband encounters a mysterious hitch-hiker.
Vampires,"Action, Horror, Thriller",6.1,1998,"Recovering from an ambush that killed his entire team, a vengeful vampire slayer must retrieve an ancient Catholic relic that, should it be acquired by vampires, will allow them to walk in sunlight."
Someone Behind the Door,"Crime, Drama",5.8,1971,"A neurosurgeon with a cheating wife takes an amnesiac into his home and conditions him to believe that the cheating wife is his own and to take the ""appropriate"" action."
Slasher,Documentary,6.9,2004,"A documentary on a stereotypically shady used car salesman, one who convinces customers to buy vehicles that others have deemed unfit for sale."
Susan's Plan,"Comedy, Crime",5.2,1998,"Susan wants her reprehensible ex-husband dead and, in several bungled attempts by henchmen, tries to accomplish the deed. First her boyfriend hires two dim-witted hitmen. Then she hires a former biker boyfriend to smother him in the hospital where he is recuperating from the first attempt. Then Zane's former wife figures out what is going on and wants a part of the action.—John Sacksteder <jsackste@bellsouth.net>"
Vamp,"Comedy, Fantasy, Horror",5.9,1986,"Two fraternity pledges travel to a sleazy bar in search of a stripper for their college friends, unaware it is occupied by vampires."
Zapped Again!,"Comedy, Sci-Fi",4.2,1990,"A new student moves into school, making enemies with the affluent societies and joining the Science Club."
